ts_ns,side,price_e8,qty_e8,agg_trade_id
1704588389005000000,1,4415630000000,13500000,1973600531
1704588389005000000,1,4415650000000,1000000,1973600532
1704588389005000000,1,4415670000000,10000000,1973600533
1704588389005000000,1,4415680000000,14100000,1973600534
1704588389005000000,1,4415690000000,1800000,1973600535
1704588389005000000,1,4415700000000,1000000,1973600536
1704588389005000000,1,4415710000000,5200000,1973600537
1704588389005000000,1,4415730000000,500000,1973600538
1704588389005000000,1,4415740000000,8000000,1973600539
1704588389005000000,1,4415750000000,14800000,1973600540
1704588389005000000,1,4415760000000,13800000,1973600541
1704588389005000000,1,4415780000000,2500000,1973600542
1704588389005000000,1,4415800000000,1400000,1973600543
1704588389005000000,1,4415810000000,2200000,1973600544
1704588389005000000,1,4415820000000,10700000,1973600545
1704588389005000000,1,4415840000000,300000,1973600546
1704588389005000000,1,4415850000000,1300000,1973600547
1704588389005000000,1,4415870000000,500000,1973600548
1704588389005000000,1,4415880000000,2500000,1973600549
1704588389005000000,1,4415900000000,11300000,1973600550
1704588389005000000,1,4415910000000,12900000,1973600551
1704588389017000000,1,4415850000000,300000,1973600552
1704588389017000000,1,4415860000000,11100000,1973600553
1704588389017000000,1,4415880000000,300000,1973600554
1704588389017000000,1,4415920000000,5100000,1973600555
1704588389017000000,1,4415930000000,5800000,1973600556
1704588389017000000,1,4415950000000,300000,1973600557
1704588389017000000,1,4415960000000,40000000,1973600558
1704588389018000000,1,4415980000000,9100000,1973600559
1704588389018000000,1,4415990000000,1100000,1973600560
1704588389018000000,1,4416000000000,256400000,1973600561
1704588389045000000,1,4416010000000,300000,1973600562
1704588389045000000,1,4416040000000,300000,1973600563
1704588389045000000,1,4416050000000,300000,1973600564
1704588389284000000,-1,4416090000000,14200000,1973600565
1704588389404000000,-1,4416090000000,28200000,1973600566
1704588389582000000,-1,4416090000000,1500000,1973600567
1704588389975000000,-1,4416090000000,18500000,1973600568
1704588390106000000,1,4416100000000,2400000,1973600569
1704588390407000000,-1,4416090000000,17600000,1973600570
1704588390407000000,-1,4416080000000,400000,1973600571
1704588390407000000,-1,4415950000000,800000,1973600572
1704588390407000000,-1,4415860000000,3200000,1973600573
1704588390407000000,-1,4415740000000,1000000,1973600574
1704588390407000000,-1,4415730000000,800000,1973600575
1704588390407000000,-1,4415690000000,4200000,1973600576
1704588390635000000,1,4415700000000,5200000,1973600577
1704588390665000000,-1,4415690000000,8300000,1973600578
1704588390910000000,1,4415700000000,12900000,1973600579
1704588390915000000,-1,4415690000000,6700000,1973600580
1704588390957000000,1,4415700000000,3800000,1973600581
1704588391029000000,-1,4415690000000,4700000,1973600582
1704588391037000000,1,4415700000000,353400000,1973600583
1704588391037000000,1,4415710000000,300000,1973600584
1704588391037000000,1,4415830000000,3200000,1973600585
1704588391037000000,1,4415990000000,800000,1973600586
1704588391037000000,1,4416000000000,600000,1973600587
1704588391037000000,1,4416020000000,43100000,1973600588
1704588391037000000,1,4416030000000,47700000,1973600589
1704588391037000000,1,4416040000000,64700000,1973600590
1704588391037000000,1,4416050000000,1000000,1973600591
1704588391037000000,1,4416060000000,66600000,1973600592
1704588391037000000,1,4416070000000,66100000,1973600593
1704588391037000000,1,4416080000000,90500000,1973600594
1704588391037000000,1,4416090000000,47600000,1973600595
1704588391089000000,-1,4416080000000,55500000,1973600596
1704588391146000000,-1,4415880000000,1300000,1973600597
1704588391467000000,-1,4415880000000,6800000,1973600598
1704588391468000000,-1,4415870000000,300000,1973600599
1704588391508000000,-1,4415690000000,5700000,1973600600
1704588391596000000,-1,4415680000000,4500000,1973600601
1704588391596000000,-1,4415670000000,400000,1973600602
1704588391596000000,-1,4415660000000,100000,1973600603
1704588391596000000,-1,4415600000000,400000,1973600604
1704588391596000000,-1,4415590000000,100000,1973600605
1704588391596000000,-1,4415570000000,100000,1973600606
1704588391596000000,-1,4415550000000,500000,1973600607
1704588391931000000,1,4415560000000,1100000,1973600608
1704588392077000000,1,4415560000000,6900000,1973600609
1704588392344000000,1,4415560000000,100300000,1973600610
1704588392642000000,-1,4415550000000,400000,1973600611
1704588392682000000,1,4415560000000,2500000,1973600612
1704588392732000000,-1,4415550000000,300000,1973600613
1704588392780000000,1,4415560000000,300000,1973600614
1704588393292000000,-1,4415550000000,18100000,1973600615
1704588393341000000,1,4415560000000,600000,1973600616
1704588393584000000,-1,4415550000000,500000,1973600617
1704588393690000000,-1,4415550000000,1800000,1973600618
1704588393804000000,-1,4415550000000,700000,1973600619
1704588393886000000,1,4415560000000,10000000,1973600620
1704588394384000000,1,4415560000000,35400000,1973600621
1704588394492000000,1,4415560000000,256600000,1973600622
1704588394493000000,1,4415570000000,600000,1973600623
1704588394493000000,1,4415700000000,700000,1973600624
1704588394601000000,-1,4415690000000,119200000,1973600625
1704588394642000000,1,4415700000000,5800000,1973600626
1704588394642000000,1,4415710000000,300000,1973600627
1704588394642000000,1,4415820000000,800000,1973600628
1704588394777000000,1,4415890000000,12100000,1973600629
1704588395109000000,1,4415890000000,4500000,1973600630
1704588395237000000,-1,4415880000000,300000,1973600631
1704588395262000000,1,4415890000000,7400000,1973600632
1704588395423000000,-1,4415880000000,1700000,1973600633
1704588396163000000,1,4415890000000,31900000,1973600634
1704588396560000000,1,4415890000000,1100000,1973600635
1704588396976000000,1,4415890000000,9000000,1973600636
1704588397139000000,-1,4415880000000,8000000,1973600637
1704588397145000000,1,4415890000000,800000,1973600638
1704588397259000000,1,4415890000000,24300000,1973600639
1704588397400000000,1,4415890000000,1900000,1973600640
1704588397502000000,1,4415890000000,300000,1973600641
1704588397707000000,1,4415890000000,1600000,1973600642
1704588397809000000,1,4415890000000,5000000,1973600643
1704588397836000000,-1,4415880000000,12300000,1973600644
1704588398020000000,1,4415890000000,400000,1973600645
1704588398406000000,-1,4415880000000,1500000,1973600646
1704588398446000000,1,4415890000000,2500000,1973600647
1704588398532000000,-1,4415880000000,5200000,1973600648
1704588398898000000,1,4415890000000,36000000,1973600649
1704588399159000000,-1,4415880000000,3800000,1973600650
1704588399305000000,1,4415890000000,600000,1973600651
1704588399472000000,1,4415890000000,2200000,1973600652
1704588399507000000,-1,4415880000000,6000000,1973600653
1704588399898000000,1,4415890000000,400000,1973600654
1704588400083000000,-1,4415880000000,49800000,1973600655
1704588400256000000,-1,4415880000000,2000000,1973600656
1704588400701000000,1,4415890000000,1300000,1973600657
1704588401144000000,1,4415890000000,12100000,1973600658
1704588401735000000,-1,4415880000000,2100000,1973600659
1704588402005000000,-1,4415880000000,900000,1973600660
1704588402154000000,1,4415890000000,5000000,1973600661
1704588402237000000,-1,4415880000000,1400000,1973600662
1704588402322000000,1,4415890000000,5800000,1973600663
1704588402414000000,-1,4415880000000,8100000,1973600664
1704588402504000000,1,4415890000000,1200000,1973600665
1704588402749000000,1,4415890000000,21700000,1973600666
1704588403120000000,1,4415890000000,8200000,1973600667
1704588403232000000,1,4415890000000,300000,1973600668
1704588403333000000,1,4415890000000,400000,1973600669
1704588403435000000,-1,4415880000000,10200000,1973600670
1704588403435000000,1,4415890000000,1800000,1973600671
1704588403488000000,-1,4415880000000,10000000,1973600672
1704588403645000000,-1,4415880000000,45400000,1973600673
1704588403719000000,-1,4415870000000,300000,1973600674
1704588403719000000,-1,4415800000000,300000,1973600675
1704588403722000000,1,4415810000000,2500000,1973600676
1704588403727000000,-1,4415800000000,1000000,1973600677
1704588403727000000,-1,4415690000000,2200000,1973600678
1704588403734000000,-1,4415610000000,800000,1973600679
1704588403745000000,1,4415560000000,5400000,1973600680
1704588403745000000,-1,4415550000000,600000,1973600681
1704588403858000000,1,4415560000000,4500000,1973600682
